dataset	min_samples	cluster_method	p	n_jobs	nmi
hepta	3	xi	2		0.5196114490153277
triangle1	3	xi	2		0.38614265921820545
tae	3	xi	2		0.1932007691011519
twenty	3	xi	2		0.5591585577655835
threenorm	3	xi	2		0.22096877562808193
square2	3	xi	2		0.3805691366564457
flame	3	xi	2		0.22025967033620902
disk-3000n	3	xi	2		0.2526196471729669
d31	3	xi	2		0.5370709758562395
aggregation	3	xi	2		0.3929019664192901
zelnik4	3	xi	2		0.4535197603275353
2sp2glob	3	xi	2		0.6253500035098282
glass	3	xi	2		0.36767899273423404
square1	3	xi	2		0.387457052998621
2d-3c-no123	3	xi	2		0.3123248283415803
disk-4500n	3	xi	2		0.2400009233268759
sizes1	3	xi	2		0.3684160934092955
long3	3	xi	2		0.21810622981699573
cuboids	3	xi	2		0.3689732966834857
donutcurves	3	xi	2		0.8168044681816804
st900	3	xi	2		0.46948865181295857
tetra	3	xi	2		0.40802155908539006
