dataset	silhouette_score	calinski_harabasz_score	davies_bouldin_score	SSE	nSSE	ARI	MIS	v_measure	n_clusters	init	max_iter	n_init	algorithm
a2	0.590671666	15728.32685	0.547647059	24920851395	2373414.419	0.93283591	0.968309218	0.979332004	33	k-means++	300	10	auto
a2	0.490363976	15571.37797	0.83791812	17517857447	1668367.376	0.888245838	0.923319846	0.956904119	47	k-means++	300	10	auto
a2	0.500722852	15471.74659	0.843572566	17254219239	1643258.975	0.880012951	0.917451856	0.953371225	48	k-means++	300	10	auto
a2	0.471401208	15320.2683	0.856836255	17059704162	1624733.73	0.866483136	0.909664667	0.947996704	49	k-means++	300	10	auto
a2	0.459573933	15178.65693	0.899448278	16866048308	1606290.315	0.856743901	0.904960957	0.946226307	50	k-means++	300	10	auto
a2	0.564567218	14658.57219	0.540411335	27577552984	2626433.617	0.900056854	0.951641551	0.967876487	32	k-means++	300	10	auto
a2	0.377350867	14403.87416	1.020595491	14745455701	1404329.114	0.759789928	0.855401272	0.918746416	60	k-means++	300	10	auto
a2	0.583342562	14076.00344	0.552679399	29656196358	2824399.653	0.877167474	0.941698634	0.963514537	31	k-means++	300	10	auto
a2	0.382462304	13664.8744	0.978407933	13273211752	1264115.405	0.708857623	0.826515016	0.904381867	70	k-means++	300	10	auto
a2	0.288041282	13575.95597	1.032267617	11653582731	1109865.022	0.614698835	0.791987264	0.886652395	80	k-means++	300	10	auto
a2	0.306423569	13465.29295	0.956962672	9348344121	890318.4877	0.516708263	0.743378322	0.859726587	100	k-means++	300	10	auto
a2	0.281970504	13453.05112	0.921920516	8484948722	808090.3545	0.490406906	0.730276533	0.855006388	110	k-means++	300	10	auto
a2	0.330787036	13417.88819	0.998461127	11790148628	1122871.298	0.631654082	0.794297441	0.887452174	80	k-means++	300	10	auto
a2	0.298601568	13359.94843	0.900156787	7195155843	685252.9375	0.431579981	0.699022622	0.839171415	130	k-means++	300	10	auto
a2	0.293481737	13327.45186	0.927532744	7832020259	745906.6913	0.450161878	0.711089274	0.844699677	120	k-means++	300	10	auto
a2	0.553051508	12938.04416	0.570040057	33331621989	3174440.189	0.840988096	0.919621412	0.945891217	30	k-means++	300	10	auto
a2	0.551351415	12865.36092	0.553657751	34704076789	3305150.17	0.820871461	0.911874361	0.944329237	29	k-means++	300	10	auto
a2	0.537878664	12156.69095	0.573426309	38041514548	3623001.385	0.795849094	0.897924069	0.935375662	28	k-means++	300	10	auto
a2	0.524746703	11725.63217	0.599587412	40915514504	3896715.667	0.765827495	0.879036048	0.920899613	27	k-means++	300	10	auto
a2	0.514550745	11223.56517	0.598288212	44399085476	4228484.331	0.73292683	0.861605643	0.908154383	26	k-means++	300	10	auto
a2	0.492739837	10765.09801	0.613471009	48152047488	4585909.285	0.711484931	0.846709276	0.898096331	25	k-means++	300	10	auto
a2	0.493326762	10422.42851	0.625775826	51828418387	4936039.846	0.700743164	0.840903206	0.897393112	24	k-means++	300	10	auto
a2	0.480170435	9933.393315	0.664986987	56743989965	5404189.52	0.697954732	0.834956229	0.896424693	23	k-means++	300	10	auto
a2	0.480643421	9716.503742	0.654976358	60684325293	5779459.552	0.665523414	0.815272618	0.881374786	22	k-means++	300	10	auto
a2	0.476276335	9430.509182	0.684786386	65528481060	6240807.72	0.652877191	0.804576724	0.875320258	21	k-means++	300	10	auto
a2	0.477428035	9137.799715	0.682606584	71036316834	6765363.508	0.624025349	0.788092405	0.864824384	20	k-means++	300	10	auto
a2	0.478337641	8977.358999	0.701797412	76169572650	7254245.014	0.61274809	0.779748842	0.860994844	19	k-means++	300	10	auto
